subj_idx,go,s,c,r,rt
4,1,1,1,1,0.45406
4,1,1,1,0,0.37385
4,1,1,1,1,0.41399
4,1,1,1,1,0.37387
4,1,1,1,1,0.37384
4,1,1,1,1,0.38725
4,1,1,1,0,0.33367
4,0,2,1,0,0.97634
4,0,2,1,0,1.137
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,1,0,0.50759
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,1,NaN
4,0,2,0,0,NaN
4,0,2,0,1,NaN
5,1,1,1,1,0.9629
5,1,1,1,1,1.8733
5,1,1,1,1,0.92266
5,1,1,1,0,0.68182
5,1,1,1,0,1.0701
5,1,1,0,0,NaN
5,1,1,1,1,0.58813
5,1,1,1,1,0.58809
5,1,1,1,1,0.49438
5,1,1,1,1,0.69524
5,1,1,1,1,0.73534
5,1,1,1,1,0.37402
5,1,1,1,1,0.52113
5,1,1,1,1,0.7889
5,1,1,1,1,0.69521
5,1,1,1,0,0.69516
5,1,1,1,1,0.60138
5,1,1,1,1,0.58808
5,1,1,1,0,0.41402
5,1,1,1,1,0.44079
5,1,1,1,1,0.74863
5,1,1,1,1,0.60146
5,1,1,1,0,0.46763
5,1,1,1,1,0.56161
5,1,1,1,1,0.34705
5,1,1,1,1,0.30693
5,1,1,1,0,0.33371
5,1,1,0,0,NaN
5,1,1,1,1,0.49426
5,1,1,1,1,0.46762
5,1,1,1,0,0.37388
5,1,1,1,1,0.45426
5,1,1,1,1,0.41409
5,1,1,1,1,0.53449
5,1,1,1,0,1.0031
5,1,1,1,1,0.93623
5,1,1,1,1,0.45422
5,1,1,1,1,0.68177
5,1,1,1,1,0.34712
5,1,1,1,1,0.44074
5,1,1,1,1,0.82908
5,1,1,1,1,0.56131
5,1,1,1,0,0.46763
5,1,1,1,1,0.37393
5,1,1,1,0,0.42741
5,1,1,1,1,0.48099
5,1,1,1,1,0.73534
5,1,1,1,1,0.45425
5,1,1,1,1,0.37388
5,1,1,1,1,0.96301
5,1,1,1,1,0.40043
5,1,1,1,1,0.29357
5,1,1,1,1,0.97636
5,1,1,1,1,0.30698
5,1,1,1,1,0.73536
5,1,1,1,0,0.53452
5,1,1,1,1,0.62825
5,1,1,1,1,0.49437
5,1,1,1,0,0.32033
5,1,1,1,1,0.48094
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
